Table,Status,Rows,Elapsed_sec
tan_promo,SUCCESS,3,0.0085
tbl_products_cover_hardware,SUCCESS,524,0.0356
tech_bleep,FAILED,0,0.0356
tech_error,SUCCESS,108851,2.8599
tech_hardware,SUCCESS,279411,7.7138
tech_manf,SUCCESS,113297,5.4112
tech_special_instructions,SUCCESS,94929,2.6082
tech_treat,FAILED,0,0.0202
tech_treatment,SUCCESS,144128,3.9476
terms,SUCCESS,53,0.0191
terms_payments,SUCCESS,0,0.0034
treatment_h,FAILED,0,0.0696
treatment_h_product,SUCCESS,1,0.0118
treatment_price,SUCCESS,2762,0.1067
treatment_zone_code,SUCCESS,22,0.0131
treatment_zone_zip,SUCCESS,437,0.0190
universal_sales_territory,SUCCESS,1,0.0076
up_charge,SUCCESS,0,0.0033
ups_shipping_cost,FAILED,0,0.3273
user_productivity,SUCCESS,2952349,108.9202
vendor,SUCCESS,153,0.0691
vendor_po_materials,SUCCESS,1752,0.0560
vendor_purchase_orders_delivery2,SUCCESS,11449,0.2873
vendor_purchases_orders,FAILED,0,0.0539
vendor_purchases_orders_delivery,SUCCESS,1,0.0183
vendor_purchases_orders_details,SUCCESS,8702,0.4106
warr1,SUCCESS,11933,5.2961
warranty_answer_master,SUCCESS,29,0.0119
warranty_claims_address,SUCCESS,6,0.0159
warranty_claims_type,SUCCESS,6,0.0101
warranty_detail,SUCCESS,1496383,51.8978
warranty_header,SUCCESS,271825,44.0628
warranty_header_preinvoiced,FAILED,0,0.0417
warranty_question_master,SUCCESS,12,0.0155
Warranty_Reasons,SUCCESS,6,0.0129
web,SUCCESS,275,0.0736
web_deposit,SUCCESS,9278,0.2661
worksheet_que,SUCCESS,201381,6.3015
worksheet_que_custom,SUCCESS,133142,3.2347
wt_description,SUCCESS,4,0.0098
zip_Code_zone,SUCCESS,11,0.0080
